name,age,study_hours,attendance_rate,quiz1,quiz2,quiz3,projects_submitted,watched_lessons,total_lessons,days_inactive,support_messages
Sara,21,18,92,85,88,90,3,24,30,1,0
Maya,23,7,60,55,62,58,1,12,30,6,3
Lina,20,13,78,70,75,80,2,20,30,2,1
Noor,22,4,45,40,48,52,0,8,30,10,5
Huda,24,20,95,92,90,96,3,28,30,0,0
Rama,19,10,70,68,72,65,2,17,30,4,2
,21,15,90,80,85,88,2,20,30,2,1
Ahmad,20,12,120,70,75,80,2,18,30,2,1
Ali,22,11,80,95,110,90,2,20,30,3,1
Omar,20,9,75,70,72,68,2,35,30,2,0
Layan,21,16,85,82,84,80,3,22,30,-1,0
